Rank,Title,Year,Rating
502,Glengarry Glen Ross    ,1992, 7.8/10 
503,The Girl with the Dragon Tattoo    ,2009, 7.8/10 
504,Tombstone    ,1993, 7.8/10 
505,The 39 Steps    ,1935, 7.8/10 
506,Adam's Apples    ,2005, 7.8/10 
507,Predator    ,1987, 7.8/10 
508,The Day of the Jackal    ,1973, 7.8/10 
509,Ordinary People    ,1980, 7.8/10 
510,I Saw the Devil    ,2010, 7.8/10 
511,The Best Offer    ,2013, 7.8/10 
512,The Motorcycle Diaries    ,2004, 7.8/10 
513,Withnail & I    ,1987, 7.8/10 
514,The Triplets of Belleville    ,2003, 7.8/10 
515,Vicky Donor    ,2012, 7.8/10 
516,The Day the Earth Stood Still    ,1951, 7.8/10 
517,Evil    ,2003, 7.8/10 
518,Misery    ,1990, 7.8/10 
519,Black Book    ,2006, 7.8/10 
520,Hamlet    ,1996, 7.8/10 
521,Evil Dead II    ,1987, 7.8/10 
522,Drive    ,2011, 7.8/10 
523,About Time    ,2013, 7.8/10 
524,Back to the Future Part II    ,1989, 7.8/10 
525,Mother    ,2009, 7.8/10 
526,Me and Earl and the Dying Girl    ,2015, 7.8/10 
527,Mississippi Burning    ,1988, 7.8/10 
528,Kuch Kuch Hota Hai    ,1998, 7.8/10 
529,Tangled    ,2010, 7.8/10 
530,American Gangster    ,2007, 7.8/10 
531,Open Your Eyes    ,1997, 7.8/10 
532,Fantastic Mr. Fox    ,2009, 7.8/10 
533,Office Space    ,1999, 7.8/10 
534,Willy Wonka & the Chocolate Factory    ,1971, 7.8/10 
535,Fantasia    ,1940, 7.8/10 
536,The Wind Rises    ,2013, 7.8/10 
537,The Magnificent Seven    ,1960, 7.8/10 
538,Silver Linings Playbook    ,2012, 7.8/10 
539,October Sky    ,1999, 7.8/10 
540,Gattaca    ,1997, 7.8/10 
541,Birdman or (The Unexpected Virtue of Ignorance)    ,2014, 7.8/10 
542,Waking Life    ,2001, 7.8/10 
543,Belle de Jour    ,1967, 7.8/10 
544,The Boy in the Striped Pajamas    ,2008, 7.8/10 
545,Moonrise Kingdom    ,2012, 7.8/10 
546,Love and Death    ,1975, 7.8/10 
547,Star Trek Into Darkness    ,2013, 7.8/10 
548,Empire of the Sun    ,1987, 7.8/10 
549,Blue Velvet    ,1986, 7.8/10 
550,The White Ribbon    ,2009, 7.8/10 
551,Ghostbusters    ,1984, 7.8/10 
552,Pride & Prejudice    ,2005, 7.8/10 
553,Porco Rosso    ,1992, 7.8/10 
554,Apocalypto    ,2006, 7.8/10 
555,Repulsion    ,1965, 7.8/10 
556,Zelig    ,1983, 7.8/10 
557,In America    ,2002, 7.8/10 
558,The French Connection    ,1971, 7.8/10 
559,Rebel Without a Cause    ,1955, 7.8/10 
560,Guess Who's Coming to Dinner    ,1967, 7.8/10 
561,The Curious Case of Benjamin Button    ,2008, 7.8/10 
562,Happiness    ,1998, 7.8/10 
563,Harry Potter and the Prisoner of Azkaban    ,2004, 7.8/10 
564,Dirty Harry    ,1971, 7.8/10 
565,The Lunchbox    ,2013, 7.8/10 
566,Hedwig and the Angry Inch    ,2001, 7.8/10 
567,The Lego Movie    ,2014, 7.8/10 
568,The Last of the Mohicans    ,1992, 7.8/10 
569,The Dirty Dozen    ,1967, 7.8/10 
570,Atonement    ,2007, 7.8/10 
571,Zulu    ,1964, 7.8/10 
572,The Goonies    ,1985, 7.8/10 
573,Invasion of the Body Snatchers    ,1956, 7.8/10 
574,"O Brother, Where Art Thou?    ",2000, 7.8/10 
575,Airplane!    ,1980, 7.8/10 
576,The Fugitive    ,1993, 7.8/10 
577,The Longest Day    ,1962, 7.8/10 
578,The Color Purple    ,1985, 7.8/10 
579,Night on Earth    ,1991, 7.8/10 
580,Captain America: The Winter Soldier    ,2014, 7.8/10 
581,The Hangover    ,2009, 7.8/10 
582,X-Men: First Class    ,2011, 7.8/10 
583,The Verdict    ,1982, 7.8/10 
584,Wreck-It Ralph    ,2012, 7.8/10 
585,Kingsman: The Secret Service    ,2014, 7.8/10 
586,Once Upon a Time in Anatolia    ,2011, 7.8/10 
587,Sicario    ,2015, 7.8/10 
588,The Last Emperor    ,1987, 7.8/10 
589,South Park: Bigger Longer & Uncut    ,1999, 7.8/10 
590,Mary Poppins    ,1964, 7.8/10 
591,Lost in Translation    ,2003, 7.8/10 
592,Kung Fu Hustle    ,2004, 7.8/10 
593,Boyz n the Hood    ,1991, 7.8/10 
594,The Tenant    ,1976, 7.8/10 
595,The Game    ,1997, 7.8/10 
596,Run Lola Run    ,1998, 7.8/10 
597,Lucky Number Slevin    ,2006, 7.8/10 
598,Being John Malkovich    ,1999, 7.8/10 
599,The Experiment    ,2001, 7.8/10 
600,From Here to Eternity    ,1953, 7.8/10 
601,Blazing Saddles    ,1974, 7.8/10 
602,Bridge of Spies    ,2015, 7.8/10 
603,What's Eating Gilbert Grape    ,1993, 7.8/10 
604,Awakenings    ,1990, 7.8/10 
605,Donnie Brasco    ,1997, 7.8/10 
606,Skyfall    ,2012, 7.8/10 
607,Serpico    ,1973, 7.8/10 
608,Breakfast at Tiffany's    ,1961, 7.8/10 
609,The Name of the Rose    ,1986, 7.8/10 
610,Pride    ,2014, 7.8/10 
611,The Broken Circle Breakdown    ,2012, 7.8/10 
612,Changeling    ,2008, 7.8/10 
613,The Sandlot    ,1993, 7.8/10 
614,Goldfinger    ,1964, 7.8/10 
615,The Bourne Supremacy    ,2004, 7.8/10 
616,Finding Neverland    ,2004, 7.8/10 
617,Kramer vs. Kramer    ,1979, 7.8/10 
618,(500) Days of Summer    ,2009, 7.8/10 
619,3:10 to Yuma    ,2007, 7.8/10 
620,Argo    ,2012, 7.8/10 
621,Il Postino: The Postman    ,1994, 7.8/10 
622,Ocean's Eleven    ,2001, 7.8/10 
623,Nebraska    ,2013, 7.8/10 
624,Remember the Titans    ,2000, 7.8/10 
625,The Social Network    ,2010, 7.8/10 
626,A Bronx Tale    ,1993, 7.8/10 
627,The Purple Rose of Cairo    ,1985, 7.8/10 
628,The King of Comedy    ,1982, 7.8/10 
629,Control    ,2007, 7.8/10 
630,Deliverance    ,1972, 7.8/10 
631,As Good as It Gets    ,1997, 7.8/10 
632,The Birds    ,1963, 7.7/10 
633,Good Bye Lenin!    ,2003, 7.7/10 
634,300    ,2006, 7.7/10 
635,Man on Fire    ,2004, 7.7/10 
636,Ray    ,2004, 7.7/10 
637,Star Trek II: The Wrath of Khan    ,1982, 7.7/10 
638,The Red Violin    ,1998, 7.7/10 
639,The Count of Monte Cristo    ,2002, 7.7/10 
640,Battle Royale    ,2000, 7.7/10 
641,Sabrina    ,1954, 7.7/10 
642,Flipped    ,2010, 7.7/10 
643,A Hard Day's Night    ,1964, 7.7/10 
644,Rushmore    ,1998, 7.7/10 
645,Detachment    ,2011, 7.7/10 
646,The Machinist    ,2004, 7.7/10 
647,The Theory of Everything    ,2014, 7.7/10 
648,Paprika    ,2006, 7.7/10 
649,Road to Perdition    ,2002, 7.7/10 
650,Short Cuts    ,1993, 7.7/10 
651,Adaptation.    ,2002, 7.7/10 
652,Dark City    ,1998, 7.7/10 
653,Barton Fink    ,1991, 7.7/10 
654,Black Hawk Down    ,2001, 7.7/10 
655,Cast Away    ,2000, 7.7/10 
656,Dead Man's Shoes    ,2004, 7.7/10 
657,The Last Samurai    ,2003, 7.7/10 
658,A Very Long Engagement    ,2004, 7.7/10 
659,21 Grams    ,2003, 7.7/10 
660,Titanic    ,1997, 7.7/10 
661,Ex Machina    ,2015, 7.7/10 
662,The Great Beauty    ,2013, 7.7/10 
663,Love Me If You Dare    ,2003, 7.7/10 
664,Mysterious Skin    ,2004, 7.7/10 
665,The Last King of Scotland    ,2006, 7.7/10 
666,Frost/Nixon    ,2008, 7.7/10 
667,50/50    ,2011, 7.7/10 
668,Delicatessen    ,1991, 7.7/10 
669,Enter the Dragon    ,1973, 7.7/10 
670,Stardust    ,2007, 7.7/10 
671,Despicable Me    ,2010, 7.7/10 
672,Fear and Loathing in Las Vegas    ,1998, 7.7/10 
673,Dead Man    ,1995, 7.7/10 
674,Malcolm X    ,1992, 7.7/10 
675,Training Day    ,2001, 7.7/10 
676,Kick-Ass    ,2010, 7.7/10 
677,Ponyo    ,2008, 7.7/10 
678,Harry Potter and the Deathly Hallows: Part 1    ,2010, 7.7/10 
679,The Station Agent    ,2003, 7.7/10 
680,Zombieland    ,2009, 7.7/10 
681,25th Hour    ,2002, 7.7/10 
682,Giant    ,1956, 7.7/10 
683,Brokeback Mountain    ,2005, 7.7/10 
684,Sympathy for Mr. Vengeance    ,2002, 7.7/10 
685,Shine    ,1996, 7.7/10 
686,The Dinner Game    ,1998, 7.7/10 
687,Billy Elliot    ,2000, 7.7/10 
688,Forbidden Planet    ,1956, 7.7/10 
689,Philadelphia    ,1993, 7.7/10 
690,Gone Baby Gone    ,2007, 7.7/10 
691,The Sweet Hereafter    ,1997, 7.7/10 
692,The Butterfly Effect    ,2004, 7.7/10 
693,Primal Fear    ,1996, 7.7/10 
694,The Blind Side    ,2009, 7.7/10 
695,Close Encounters of the Third Kind    ,1977, 7.7/10 
696,This Is England    ,2006, 7.7/10 
697,The Warriors    ,1979, 7.7/10 
698,Three Colors: White    ,1994, 7.7/10 
699,Sense and Sensibility    ,1995, 7.7/10 
700,The Producers    ,1967, 7.7/10 
701,The Visitor    ,2007, 7.7/10 
702,Where Eagles Dare    ,1968, 7.7/10 
703,After Hours    ,1985, 7.7/10 
704,Match Point    ,2005, 7.7/10 
705,Coraline    ,2009, 7.7/10 
706,Sophie's Choice    ,1982, 7.7/10 
707,Boy A    ,2007, 7.7/10 
708,The City of Lost Children    ,1995, 7.7/10 
709,Love Actually    ,2003, 7.7/10 
710,Dazed and Confused    ,1993, 7.7/10 
711,Blood Simple.    ,1984, 7.7/10 
712,The Muppet Christmas Carol    ,1992, 7.7/10 
713,Fearless    ,2006, 7.7/10 
714,Shane    ,1953, 7.7/10 
715,Who Framed Roger Rabbit    ,1988, 7.7/10 
716,Show Me Love    ,1998, 7.7/10 
717,Midnight in Paris    ,2011, 7.7/10 
718,Dangerous Liaisons    ,1988, 7.7/10 
719,Saw    ,2004, 7.7/10 
720,Eastern Promises    ,2007, 7.7/10 
721,Cell 211    ,2009, 7.7/10 
722,Blow-Up    ,1966, 7.7/10 
723,True Grit    ,2010, 7.7/10 
724,Lolita    ,1962, 7.7/10 
725,Snow White and the Seven Dwarfs    ,1937, 7.7/10 
726,First Blood    ,1982, 7.7/10 
727,In a Better World    ,2010, 7.7/10 
728,Zodiac    ,2007, 7.7/10 
729,Little Big Man    ,1970, 7.7/10 
730,Minority Report    ,2002, 7.7/10 
731,Leviathan    ,2014, 7.7/10 
732,The Secret World of Arrietty    ,2010, 7.7/10 
733,End of Watch    ,2012, 7.7/10 
734,La Vie en Rose    ,2007, 7.7/10 
735,Sympathy for Lady Vengeance    ,2005, 7.7/10 
736,Seven Pounds    ,2008, 7.7/10 
737,Y Tu Mamá También    ,2001, 7.7/10 
738,Midnight Express    ,1978, 7.7/10 
739,Spellbound    ,1945, 7.7/10 
740,Lost Highway    ,1997, 7.7/10 
741,Kelly's Heroes    ,1970, 7.7/10 
742,The Fifth Element    ,1997, 7.7/10 
743,The Big Blue    ,1988, 7.6/10 
744,The Player    ,1992, 7.6/10 
745,Moulin Rouge!    ,2001, 7.6/10 
746,Traffic    ,2000, 7.6/10 
747,Dawn of the Planet of the Apes    ,2014, 7.6/10 
748,Star Wars: Episode III - Revenge of the Sith    ,2005, 7.6/10 
749,Watchmen    ,2009, 7.6/10 
750,Grindhouse    ,2007, 7.6/10 
751,Inside Man    ,2006, 7.6/10 
752,Fried Green Tomatoes    ,1991, 7.6/10 
753,MASH    ,1970, 7.6/10 
754,Kiss Kiss Bang Bang    ,2005, 7.6/10 
755,Whale Rider    ,2002, 7.6/10 
756,Harry Potter and the Goblet of Fire    ,2005, 7.6/10 
757,Stranger Than Fiction    ,2006, 7.6/10 
758,Philomena    ,2013, 7.6/10 
759,The Royal Tenenbaums    ,2001, 7.6/10 
760,I Am Sam    ,2001, 7.6/10 
761,The Wicker Man    ,1973, 7.6/10 
762,A Few Good Men    ,1992, 7.6/10 
763,Mad Max 2: The Road Warrior    ,1981, 7.6/10 
764,The Thin Red Line    ,1998, 7.6/10 
765,High Plains Drifter    ,1973, 7.6/10 
766,The Illusionist    ,2006, 7.6/10 
767,The Jungle Book    ,1967, 7.6/10 
768,The Haunting    ,1963, 7.6/10 
769,Lethal Weapon    ,1987, 7.6/10 
770,The Flowers of War    ,2011, 7.6/10 
771,127 Hours    ,2010, 7.6/10 
772,Les Misérables    ,2012, 7.6/10 
773,The Skin I Live In    ,2011, 7.6/10 
774,The Hunger Games: Catching Fire    ,2013, 7.6/10 
775,When Harry Met Sally...    ,1989, 7.6/10 
776,United 93    ,2006, 7.6/10 
777,The Godfather: Part III    ,1990, 7.6/10 
778,Blow    ,2001, 7.6/10 
779,Sherlock Holmes    ,2009, 7.6/10 
780,28 Days Later...    ,2002, 7.6/10 
781,Milk    ,2008, 7.6/10 
782,The Kite Runner    ,2007, 7.6/10 
783,Thank You for Smoking    ,2005, 7.6/10 
784,American Psycho    ,2000, 7.6/10 
785,Lord of War    ,2005, 7.6/10 
786,House of Sand and Fog    ,2003, 7.6/10 
787,Superbad    ,2007, 7.6/10 
788,Ghost in the Shell 2: Innocence    ,2004, 7.6/10 
789,Munich    ,2005, 7.6/10 
790,The Legend of Drunken Master    ,1994, 7.6/10 
791,Dracula    ,1931, 7.6/10 
792,The Raid: Redemption    ,2011, 7.6/10 
793,The Crow    ,1994, 7.6/10 
794,The Others    ,2001, 7.6/10 
795,The Naked Gun: From the Files of Police Squad!    ,1988, 7.6/10 
796,Volver    ,2006, 7.6/10 
797,Animal House    ,1978, 7.6/10 
798,Army of Darkness    ,1992, 7.6/10 
799,Apollo 13    ,1995, 7.6/10 
800,Man Bites Dog    ,1992, 7.6/10 
801,West Side Story    ,1961, 7.6/10 
802,The Party    ,1968, 7.6/10 
803,Frozen    ,2013, 7.6/10 
804,The Hurt Locker    ,2008, 7.6/10 
805,The Last Temptation of Christ    ,1988, 7.6/10 
806,Escape from Alcatraz    ,1979, 7.6/10 
807,The Hunt for Red October    ,1990, 7.6/10 
808,The Counterfeiters    ,2007, 7.6/10 
809,13 Assassins    ,2010, 7.6/10 
810,A Fish Called Wanda    ,1988, 7.6/10 
811,A Royal Affair    ,2012, 7.6/10 
812,Zatoichi    ,2003, 7.6/10 
813,The Impossible    ,2012, 7.6/10 
814,Fury    ,2014, 7.6/10 
815,The Man Who Wasn't There    ,2001, 7.6/10 
816,The Time Machine    ,1960, 7.6/10 
817,Indiana Jones and the Temple of Doom    ,1984, 7.6/10 
818,Kung Fu Panda    ,2008, 7.6/10 
819,Following    ,1998, 7.6/10 
820,Funny Games    ,1997, 7.6/10 
821,"It's a Mad, Mad, Mad, Mad World    ",1963, 7.6/10 
822,Falling Down    ,1993, 7.6/10 
823,Hunger    ,2008, 7.6/10 
824,Enemy at the Gates    ,2001, 7.6/10 
825,The Abyss    ,1989, 7.6/10 
826,The Guns of Navarone    ,1961, 7.6/10 
827,Ip Man 2    ,2010, 7.6/10 
828,Robin Hood    ,1973, 7.6/10 
829,The Little Mermaid    ,1989, 7.6/10 
830,"Lust, Caution    ",2007, 7.6/10 
831,The Secret of NIMH    ,1982, 7.6/10 
832,The Wave    ,2008, 7.6/10 
833,Moneyball    ,2011, 7.6/10 
834,The Piano    ,1993, 7.6/10 
835,Secondhand Lions    ,2003, 7.6/10 
836,An American Werewolf in London    ,1981, 7.6/10 
837,Avengers: Age of Ultron    ,2015, 7.6/10 
838,The Reader    ,2008, 7.6/10 
839,Garden State    ,2004, 7.6/10 
840,Die Hard: With a Vengeance    ,1995, 7.6/10 
841,The Great Debaters    ,2007, 7.6/10 
842,Interview with the Vampire: The Vampire Chronicles    ,1994, 7.6/10 
843,The Meaning of Life    ,1983, 7.6/10 
844,Hoosiers    ,1986, 7.6/10 
845,Mesrine Part 1: Killer Instinct    ,2008, 7.6/10 
846,The Omen    ,1976, 7.6/10 
847,Midnight Run    ,1988, 7.6/10 
848,The Book Thief    ,2013, 7.6/10 
849,A Single Man    ,2009, 7.6/10 
850,Little Children    ,2006, 7.6/10 
851,Dead Alive    ,1992, 7.6/10 
852,Disconnect    ,2012, 7.6/10 
853,Lone Survivor    ,2013, 7.6/10 
854,Ice Age    ,2002, 7.6/10 
855,Leaving Las Vegas    ,1995, 7.6/10 
856,The Town    ,2010, 7.6/10 
857,Tucker and Dale vs. Evil    ,2010, 7.6/10 
858,Boys Don't Cry    ,1999, 7.6/10 
859,Rise of the Planet of the Apes    ,2011, 7.6/10 
860,Chaplin    ,1992, 7.6/10 
861,Dead Man Walking    ,1995, 7.6/10 
862,The Evil Dead    ,1981, 7.6/10 
863,Headhunters    ,2011, 7.6/10 
864,Tell No One    ,2006, 7.6/10 
865,Collateral    ,2004, 7.6/10 
866,High Fidelity    ,2000, 7.6/10 
867,The Hours    ,2002, 7.6/10 
868,The Fisher King    ,1991, 7.6/10 
869,Batman    ,1989, 7.6/10 
870,"Planes, Trains & Automobiles    ",1987, 7.6/10 
871,Sideways    ,2004, 7.6/10 
872,House of Flying Daggers    ,2004, 7.6/10 
873,What We Do in the Shadows    ,2014, 7.6/10 
874,Hair    ,1979, 7.6/10 
875,Field of Dreams    ,1989, 7.6/10 
876,The Hurricane    ,1999, 7.6/10 
877,Hugo    ,2011, 7.6/10 
878,Star Trek: First Contact    ,1996, 7.6/10 
879,Christmas Vacation    ,1989, 7.6/10 
880,The Damned United    ,2009, 7.6/10 
881,Ghost Dog: The Way of the Samurai    ,1999, 7.5/10 
882,The Assassination of Jesse James by the Coward Robert Ford    ,2007, 7.5/10 
883,The Natural    ,1984, 7.5/10 
884,Sleepers    ,1996, 7.5/10 
885,August Rush    ,2007, 7.5/10 
886,"The Cook, the Thief, His Wife & Her Lover    ",1989, 7.5/10 
887,The Edukators    ,2004, 7.5/10 
888,Bullets Over Broadway    ,1994, 7.5/10 
889,Rudy    ,1993, 7.5/10 
890,The Life of David Gale    ,2003, 7.5/10 
891,Gangs of New York    ,2002, 7.5/10 
892,"Good Night, and Good Luck.    ",2005, 7.5/10 
893,RoboCop    ,1987, 7.5/10 
894,The Wind That Shakes the Barley    ,2006, 7.5/10 
895,Menace II Society    ,1993, 7.5/10 
896,Jacob's Ladder    ,1990, 7.5/10 
897,42    ,2013, 7.5/10 
898,Juno    ,2007, 7.5/10 
899,Of Mice and Men    ,1992, 7.5/10 
900,The Bridges of Madison County    ,1995, 7.5/10 
901,Elizabeth    ,1998, 7.5/10 
902,Straw Dogs    ,1971, 7.5/10 
903,Equilibrium    ,2002, 7.5/10 
904,Green Street Hooligans    ,2005, 7.5/10 
905,Perfume: The Story of a Murderer    ,2006, 7.5/10 
906,The Class    ,2008, 7.5/10 
907,Life as a House    ,2001, 7.5/10 
908,Saving Mr. Banks    ,2013, 7.5/10 
909,Quiz Show    ,1994, 7.5/10 
910,Jackie Brown    ,1997, 7.5/10 
911,The Painted Veil    ,2006, 7.5/10 
912,A Perfect World    ,1993, 7.5/10 
913,Reign Over Me    ,2007, 7.5/10 
914,A Simple Plan    ,1998, 7.5/10 
915,The Fly    ,1986, 7.5/10 
916,The Curse of the Were-Rabbit    ,2005, 7.5/10 
917,The Illusionist    ,2010, 7.5/10 
918,American Splendor    ,2003, 7.5/10 
919,Maria Full of Grace    ,2004, 7.5/10 
920,Pleasantville    ,1998, 7.5/10 
921,The Man Who Knew Too Much    ,1956, 7.5/10 
922,American Graffiti    ,1973, 7.5/10 
923,Mulan    ,1998, 7.5/10 
924,Marathon Man    ,1976, 7.5/10 
925,Steve Jobs    ,2015, 7.5/10 
926,Miracle    ,2004, 7.5/10 
927,Scott Pilgrim vs. the World    ,2010, 7.5/10 
928,Sherlock Holmes: A Game of Shadows    ,2011, 7.5/10 
929,Doubt    ,2008, 7.5/10 
930,The Conjuring    ,2013, 7.5/10 
931,Legends of the Fall    ,1994, 7.5/10 
932,Cloud Atlas    ,2012, 7.5/10 
933,We Need to Talk About Kevin    ,2011, 7.5/10 
934,Freedom Writers    ,2007, 7.5/10 
935,Gallipoli    ,1981, 7.5/10 
936,My Cousin Vinny    ,1992, 7.5/10 
937,Three Days of the Condor    ,1975, 7.5/10 
938,A Nightmare on Elm Street    ,1984, 7.5/10 
939,Harry Potter and the Half-Blood Prince    ,2009, 7.5/10 
940,Malèna    ,2000, 7.5/10 
941,Pinocchio    ,1940, 7.5/10 
942,Rust and Bone    ,2012, 7.5/10 
943,The Ice Storm    ,1997, 7.5/10 
944,The Orphanage    ,2007, 7.5/10 
945,The Walk    ,2015, 7.5/10 
946,Selma    ,2014, 7.5/10 
947,Despicable Me 2    ,2013, 7.5/10 
948,Best in Show    ,2000, 7.5/10 
949,Everything Is Illuminated    ,2005, 7.5/10 
950,Total Recall    ,1990, 7.5/10 
951,Harry Potter and the Sorcerer's Stone    ,2001, 7.5/10 
952,Southpaw    ,2015, 7.5/10 
953,The Devil's Advocate    ,1997, 7.5/10 
954,X2    ,2003, 7.5/10 
955,Felon    ,2008, 7.5/10 
956,[Rec]    ,2007, 7.5/10 
957,Fruitvale Station    ,2013, 7.5/10 
958,To Catch a Thief    ,1955, 7.5/10 
959,Buffalo '66    ,1998, 7.5/10 
960,Mission: Impossible - Rogue Nation    ,2015, 7.5/10 
961,The Texas Chain Saw Massacre    ,1974, 7.5/10 
962,The Aviator    ,2004, 7.5/10 
963,A History of Violence    ,2005, 7.5/10 
964,Source Code    ,2011, 7.5/10 
965,The Constant Gardener    ,2005, 7.5/10 
966,Frenzy    ,1972, 7.5/10 
967,Biutiful    ,2010, 7.5/10 
968,Open Range    ,2003, 7.5/10 
969,Pi    ,1998, 7.5/10 
970,Still Alice    ,2014, 7.5/10 
971,The Devil's Backbone    ,2001, 7.5/10 
972,From Russia with Love    ,1963, 7.5/10 
973,Thesis    ,1996, 7.5/10 
974,Babel    ,2006, 7.5/10 
975,In the Loop    ,2009, 7.5/10 
976,In the Bedroom    ,2001, 7.5/10 
977,Dracula    ,1992, 7.5/10 
978,Bad Education    ,2004, 7.5/10 
979,The Hobbit: The Battle of the Five Armies    ,2014, 7.5/10 
980,The Mission    ,1986, 7.5/10 
981,Bullitt    ,1968, 7.5/10 
982,The Three Burials of Melquiades Estrada    ,2005, 7.5/10 
983,Harry Potter and the Order of the Phoenix    ,2007, 7.5/10 
984,Suspiria    ,1977, 7.5/10 
985,Home Alone    ,1990, 7.5/10 
986,Trading Places    ,1983, 7.5/10 
987,Beetlejuice    ,1988, 7.5/10 
988,Witness    ,1985, 7.5/10 
989,Up in the Air    ,2009, 7.5/10 
990,Begin Again    ,2013, 7.5/10 
991,The Proposition    ,2005, 7.5/10 
992,Looper    ,2012, 7.4/10 
993,Running Scared    ,2006, 7.4/10 
994,Ghost World    ,2001, 7.4/10 
995,Inside Llewyn Davis    ,2013, 7.4/10 
996,Man on the Moon    ,1999, 7.4/10 
997,Notes on a Scandal    ,2006, 7.4/10 
998,Mud    ,2012, 7.4/10 
999,Alice in Wonderland    ,1951, 7.4/10 
1000,Mean Streets    ,1973, 7.4/10 
